method,algo,problem,lambda,mu-lambda_ratio,sigma0,alpha_mu,rescale_sigma0,BestSol_mean,BestSol_std
Morris,CMA,Problem1,670.0,0.1,1.155556,1.777778,0.1111111,63144.60671105544,55169.61917904621
Morris,CMA,Problem1,670.0,0.1,1.577778,3.555556,0.3333333,52087.754259731875,47709.00314379584
Morris,CMA,Problem1,670.0,0.1,2.0,0.0,0.0,56996.36993410046,50953.69447868309
Morris,CMA,Problem1,670.0,0.2,0.5222222,1.333333,0.2222222,57921.451638811675,46623.24482266401
Morris,CMA,Problem1,670.0,0.2,0.5222222,3.555556,0.2222222,60517.280080043114,50903.79024376238
Morris,CMA,Problem1,670.0,0.2,0.5222222,3.555556,0.7777778,62305.48234967918,52745.26366705263
Morris,CMA,Problem1,670.0,0.2,1.577778,1.333333,0.2222222,62707.406715331505,55194.45381784398
Morris,CMA,Problem1,670.0,0.3,0.1,0.0,0.1111111,101198.10570012183,19830.13537553455
Morris,CMA,Problem1,670.0,0.3,0.1,2.222222,0.1111111,70637.71298459398,41598.99366376072
Morris,CMA,Problem1,670.0,0.3,0.1,2.222222,0.6666667,74761.59793932959,30371.191155447937
Morris,CMA,Problem1,670.0,0.3,1.155556,0.0,0.6666667,79436.81022309867,45426.894299721134
Morris,CMA,Problem1,670.0,0.3,1.155556,2.222222,0.6666667,55062.02301216141,47202.62633292979
Morris,CMA,Problem1,670.0,0.4,0.5222222,3.555556,0.1111111,65469.84548860163,52755.99497908784
Morris,CMA,Problem1,670.0,0.4,0.5222222,3.555556,0.6666667,74211.32103712096,58823.14197285746
Morris,CMA,Problem1,670.0,0.4,1.577778,1.333333,0.1111111,61116.45195154888,51779.678095125346
Morris,CMA,Problem1,670.0,0.4,1.577778,3.555556,0.1111111,60214.80436404496,51902.185265920954
Morris,CMA,Problem1,670.0,0.4,2.0,2.222222,1.0,65164.92141975537,55990.25342541109
Morris,CMA,Problem1,670.0,0.5,0.3111111,1.333333,0.6666667,70124.74523155093,32372.024636822523
Morris,CMA,Problem1,670.0,0.5,1.155556,0.4444444,0.4444444,69459.41738071371,45703.29019476301
Morris,CMA,Problem1,670.0,0.5,1.366667,1.333333,0.1111111,60961.90254295336,50700.69643115468
Morris,CMA,Problem1,670.0,0.5,1.366667,1.333333,0.6666667,65594.45656472335,54790.00559142009
Morris,CMA,Problem1,670.0,0.5,1.366667,3.555556,0.1111111,59683.207570881656,49025.330334179635
Morris,CMA,Problem1,670.0,0.6,0.5222222,3.555556,0.8888889,64189.0814459711,49010.035187184956
Morris,CMA,Problem1,670.0,0.6,1.577778,1.333333,0.8888889,64431.50068712048,53508.503436911546
