method,algo,problem,lambda,mu-lambda_ratio,sigma0,alpha_mu,rescale_sigma0,BestSol_mean,BestSol_std
Morris,CMA,Problem4,406.0,0.1,1.24,3.2,0.6,96.21937887264122,3.452153824454495
Morris,CMA,Problem4,406.0,0.64,0.86,0.8,0.2,96.98678303132735,2.184330777311859
Morris,CMA,Problem4,406.0,0.64,1.24,3.2,0.6,95.86013695502993,4.367158794429277
Morris,CMA,Problem4,406.0,1.0,1.24,1.6,0.0,97.32714905366434,2.6719680983528202
Morris,CMA,Problem4,406.0,1.0,1.24,4.0,0.0,97.0124593641774,4.435354121053359
Morris,CMA,Problem4,406.0,1.0,1.24,4.0,0.6,96.73203058802962,3.080446786903266
Morris,CMA,Problem4,604.0,0.64,0.1,2.4,0.0,96.20674031126626,3.782261649584447
Morris,CMA,Problem4,604.0,0.64,0.1,2.4,0.6,97.7711328574395,2.456633239867892
Morris,CMA,Problem4,604.0,0.64,1.24,0.0,0.0,96.70926628759933,2.6836477007395376
Morris,CMA,Problem4,604.0,0.64,1.24,2.4,0.0,97.64156721780476,1.9876050076692746
Morris,CMA,Problem4,604.0,1.0,0.48,1.6,0.4,96.46755383117524,3.2817196123767047
Morris,CMA,Problem4,604.0,1.0,1.62,1.6,0.8,96.68599357296883,3.2468999525634725
Morris,CMA,Problem4,802.0,0.1,0.1,0.0,0.4,96.6060519873706,3.2740968834066093
Morris,CMA,Problem4,802.0,0.1,1.24,0.0,0.4,95.58021445551147,3.6294006650178794
Morris,CMA,Problem4,802.0,0.1,1.24,2.4,0.4,96.96759359107077,2.938535200658124
Morris,CMA,Problem4,802.0,0.1,1.24,2.4,1.0,96.18736700884168,3.804979198870293
Morris,CMA,Problem4,802.0,0.28,0.86,0.8,0.6,96.34620830668221,3.469274198065842
Morris,CMA,Problem4,802.0,0.28,2.0,0.8,0.6,96.58570148089971,2.869594703040258
Morris,CMA,Problem4,802.0,0.28,2.0,3.2,0.6,96.592178301492,3.1337412398677187
Morris,CMA,Problem4,802.0,0.64,0.1,0.0,0.4,97.46914287084654,2.2122209500560084
Morris,CMA,Problem4,802.0,0.82,0.86,0.8,0.6,96.78331079581561,3.351359473497742
Morris,CMA,Problem4,802.0,0.82,0.86,1.6,0.6,97.49568341326766,2.0962714228981802
Morris,CMA,Problem4,802.0,0.82,0.86,4.0,0.0,96.7872537615107,2.8946577875052033
Morris,CMA,Problem4,802.0,0.82,0.86,4.0,0.6,96.7860614982596,3.1356216685373886
Morris,CMA,Problem4,802.0,0.82,2.0,1.6,0.6,96.34585282170096,2.8915494324597932
Morris,CMA,Problem4,802.0,0.82,2.0,4.0,0.0,96.66007717243187,3.8716739910146405
Morris,CMA,Problem5,10.0,0.1,0.1,2.4,0.6,482313169.0337568,87293106.82988456
Morris,CMA,Problem5,10.0,0.46,0.48,1.6,0.4,440128351.90699023,79504414.42310819
Morris,CMA,Problem5,10.0,0.46,0.48,4.0,0.2,491033954.4150027,108945928.12359223
Morris,CMA,Problem5,10.0,0.46,0.48,4.0,0.4,489574047.91732955,106376329.65631142
Morris,CMA,Problem5,10.0,0.46,1.62,4.0,0.4,458093961.4251015,123005005.09192976
Morris,CMA,Problem5,10.0,0.46,1.62,4.0,1.0,436138121.4762686,136555691.64854044
Morris,CMA,Problem5,10.0,0.64,0.1,2.4,0.6,477097159.5274833,130088183.05659673
Morris,CMA,Problem5,10.0,1.0,0.48,1.6,0.2,420586096.6955093,123240000.95324895
Morris,CMA,Problem5,10.0,1.0,0.48,1.6,0.4,457393724.81287843,117873873.4429244
Morris,CMA,Problem5,10.0,1.0,0.48,1.6,0.8,432758711.7023122,106485579.8918151
Morris,CMA,Problem5,10.0,1.0,0.48,4.0,0.2,472256748.7423317,85866865.8698448
Morris,CMA,Problem5,10.0,1.0,1.62,1.6,0.8,470241974.966632,123810544.83159952
Morris,CMA,Problem5,1000.0,0.1,0.1,0.8,0.0,455200803.74260604,100612703.00088315
Morris,CMA,Problem5,1000.0,0.1,0.1,0.8,0.6,428469520.75784856,102416046.4884853
Morris,CMA,Problem5,1000.0,0.1,0.1,3.2,0.6,436758673.78341186,123833254.4211636
Morris,CMA,Problem5,1000.0,0.1,0.86,0.8,0.2,483640556.5597031,91837192.8819351
Morris,CMA,Problem5,1000.0,0.1,1.24,3.2,0.6,485067725.7239135,101141930.73825471
Morris,CMA,Problem5,1000.0,0.1,2.0,0.8,0.2,454765545.8257019,94845741.97029902
Morris,CMA,Problem5,1000.0,0.1,2.0,3.2,0.2,436292756.50564384,92530622.98258282
Morris,CMA,Problem5,1000.0,0.1,2.0,3.2,0.8,438575976.53059256,124348104.61516808
Morris,CMA,Problem5,1000.0,0.46,0.1,4.0,0.6,448377742.866419,118973564.44285971
Morris,CMA,Problem5,1000.0,1.0,0.1,4.0,0.6,489338705.3620818,114362816.89620443
Morris,CMA,Problem5,1000.0,1.0,1.24,4.0,0.6,452564282.7440897,118925209.2205936
Morris,CMA,Problem5,208.0,0.1,1.24,2.4,1.0,483224058.2738891,119564140.14080036
Morris,CMA,Problem5,208.0,0.28,0.86,1.6,0.6,470989507.6943632,127251654.8324571
Morris,CMA,Problem5,208.0,0.28,2.0,1.6,0.6,498951900.42921007,127933141.91537964
Morris,CMA,Problem5,208.0,0.28,2.0,3.2,0.0,439022812.18990314,110773571.46740566
Morris,CMA,Problem5,208.0,0.28,2.0,3.2,0.6,460612434.9097712,137743241.91096005
Morris,CMA,Problem5,208.0,0.82,0.86,1.6,0.0,430401959.9581508,143147930.13839194
