method,algo,problem,lambda,mu-lambda_ratio,sigma0,alpha_mu,rescale_sigma0,BestSol_mean
Morris,CMA,Problem4,208,0.82,0.86,1.6,0.6,96.67635257
Morris,CMA,Problem4,208,0.82,0.86,4,0,96.88995682
Morris,CMA,Problem4,208,0.82,2,1.6,0.6,96.93214905
Morris,CMA,Problem4,406,0.1,0.86,0.8,0.2,95.9822206
Morris,CMA,Problem4,406,0.1,1.24,3.2,0.6,96.21937887
Morris,CMA,Problem4,406,0.64,0.86,0.8,0.2,96.98678303
Morris,CMA,Problem4,406,0.64,1.24,3.2,0.6,95.86013696
Morris,CMA,Problem4,406,1,1.24,1.6,0,97.32714905
Morris,CMA,Problem4,406,1,1.24,4,0,97.01245936
Morris,CMA,Problem4,406,1,1.24,4,0.6,96.73203059
Morris,CMA,Problem4,604,0.64,0.1,2.4,0,96.20674031
Morris,CMA,Problem4,604,0.64,0.1,2.4,0.6,97.77113286
Morris,CMA,Problem4,604,0.64,1.24,0,0,96.70926629
Morris,CMA,Problem4,604,0.64,1.24,2.4,0,97.64156722
Morris,CMA,Problem4,604,1,0.48,1.6,0.4,96.46755383
Morris,CMA,Problem4,604,1,1.62,1.6,0.8,96.68599357
Morris,CMA,Problem4,802,0.1,0.1,0,0.4,96.60605199
Morris,CMA,Problem4,802,0.1,1.24,0,0.4,95.58021446
Morris,CMA,Problem4,802,0.1,1.24,2.4,0.4,96.96759359
Morris,CMA,Problem4,802,0.1,1.24,2.4,1,96.18736701
Morris,CMA,Problem4,802,0.28,0.86,0.8,0.6,96.34620831
Morris,CMA,Problem4,802,0.28,2,0.8,0.6,96.58570148
Morris,CMA,Problem4,802,0.28,2,3.2,0.6,96.5921783
Morris,CMA,Problem4,802,0.64,0.1,0,0.4,97.46914287
Morris,CMA,Problem4,802,0.82,0.86,0.8,0.6,96.7833108
Morris,CMA,Problem4,802,0.82,0.86,1.6,0.6,97.49568341
Morris,CMA,Problem4,802,0.82,0.86,4,0,96.78725376
Morris,CMA,Problem4,802,0.82,0.86,4,0.6,96.7860615
Morris,CMA,Problem4,802,0.82,2,1.6,0.6,96.34585282
Morris,CMA,Problem4,802,0.82,2,4,0,96.66007717
