method,algo,problem,lambda,mu-lambda_ratio,sigma0,alpha_mu,rescale_sigma0,BestSol_mean
Morris,CMA,Problem7,208,0.82,2,1.6,0.6,-7.853764135
Morris,CMA,Problem7,406,0.1,0.86,0.8,0.2,17.26530222
Morris,CMA,Problem7,406,0.1,1.24,3.2,0.6,1.008092442
Morris,CMA,Problem7,406,0.64,0.86,0.8,0.2,10.1743582
Morris,CMA,Problem7,406,0.64,1.24,3.2,0.6,20.16791082
Morris,CMA,Problem7,406,1,1.24,1.6,0,13.52333266
Morris,CMA,Problem7,406,1,1.24,4,0,0.910675663
Morris,CMA,Problem7,406,1,1.24,4,0.6,-12.80265466
Morris,CMA,Problem7,604,0.64,0.1,2.4,0,-16.23022745
Morris,CMA,Problem7,604,0.64,0.1,2.4,0.6,8.188735354
Morris,CMA,Problem7,604,0.64,1.24,0,0,-6.475750071
Morris,CMA,Problem7,604,0.64,1.24,2.4,0,12.05800418
Morris,CMA,Problem7,604,1,0.48,1.6,0.4,-15.21918895
Morris,CMA,Problem7,604,1,1.62,1.6,0.8,-2.62194623
Morris,CMA,Problem7,802,0.1,0.1,0,0.4,-12.38945958
Morris,CMA,Problem7,802,0.1,1.24,0,0.4,1.913431223
Morris,CMA,Problem7,802,0.1,1.24,2.4,0.4,3.180253456
Morris,CMA,Problem7,802,0.1,1.24,2.4,1,-10.20932874
Morris,CMA,Problem7,802,0.28,0.86,0.8,0.6,6.622489513
Morris,CMA,Problem7,802,0.28,2,0.8,0.6,-8.386307602
Morris,CMA,Problem7,802,0.28,2,3.2,0.6,5.638493477
Morris,CMA,Problem7,802,0.64,0.1,0,0.4,0.501849798
Morris,CMA,Problem7,802,0.82,0.86,0.8,0.6,-3.827309358
Morris,CMA,Problem7,802,0.82,0.86,1.6,0.6,-0.668142914
Morris,CMA,Problem7,802,0.82,0.86,4,0,-8.720629503
Morris,CMA,Problem7,802,0.82,0.86,4,0.6,6.438716074
Morris,CMA,Problem7,802,0.82,2,1.6,0.6,-2.720503187
Morris,CMA,Problem7,802,0.82,2,4,0,-3.911219524
Morris,CMA,Problem8,10,0.1,0.1,2.4,0.6,109.3824101
Morris,CMA,Problem8,10,0.46,0.48,1.6,0.4,14.06609236
Morris,CMA,Problem8,10,0.46,0.48,4,0.2,106.9433061
Morris,CMA,Problem8,10,0.46,0.48,4,0.4,230.1147394
Morris,CMA,Problem8,10,0.46,1.62,4,0.4,242.6665283
Morris,CMA,Problem8,10,0.46,1.62,4,1,-65.83936103
Morris,CMA,Problem8,10,0.64,0.1,2.4,0.6,-94.96987785
Morris,CMA,Problem8,10,1,0.48,1.6,0.2,75.35827929
Morris,CMA,Problem8,10,1,0.48,1.6,0.4,-288.084638
Morris,CMA,Problem8,10,1,0.48,1.6,0.8,26.11350749
Morris,CMA,Problem8,10,1,0.48,4,0.2,-36.91594217
Morris,CMA,Problem8,10,1,1.62,1.6,0.8,-32.76661744
Morris,CMA,Problem8,1000,0.1,0.1,0.8,0,-26.04860909
Morris,CMA,Problem8,1000,0.1,0.1,0.8,0.6,-315.4263344
Morris,CMA,Problem8,1000,0.1,0.1,3.2,0.6,-154.8633698
Morris,CMA,Problem8,1000,0.1,0.86,0.8,0.2,17.21903591
Morris,CMA,Problem8,1000,0.1,1.24,3.2,0.6,167.7351794
Morris,CMA,Problem8,1000,0.1,2,0.8,0.2,-137.6150998
Morris,CMA,Problem8,1000,0.1,2,3.2,0.2,55.63794636
Morris,CMA,Problem8,1000,0.1,2,3.2,0.8,57.0805408
Morris,CMA,Problem8,1000,0.46,0.1,4,0.6,-66.14419236
Morris,CMA,Problem8,1000,1,0.1,4,0.6,69.26261166
Morris,CMA,Problem8,1000,1,1.24,4,0.6,79.01914806
Morris,CMA,Problem8,208,0.1,1.24,2.4,1,67.91104121
Morris,CMA,Problem8,208,0.28,0.86,1.6,0.6,64.49334936
Morris,CMA,Problem8,208,0.28,2,1.6,0.6,-180.5807742
Morris,CMA,Problem8,208,0.28,2,3.2,0,-115.2257656
Morris,CMA,Problem8,208,0.28,2,3.2,0.6,-124.4013738
Morris,CMA,Problem8,208,0.82,0.86,1.6,0,138.5200569
Morris,CMA,Problem8,208,0.82,0.86,1.6,0.6,33.19796683
Morris,CMA,Problem8,208,0.82,0.86,4,0,-75.87345262
Morris,CMA,Problem8,208,0.82,2,1.6,0.6,112.9480624
Morris,CMA,Problem8,406,0.1,0.86,0.8,0.2,193.1058813
Morris,CMA,Problem8,406,0.1,1.24,3.2,0.6,-263.2280196
Morris,CMA,Problem8,406,0.64,0.86,0.8,0.2,-14.64898778
Morris,CMA,Problem8,406,0.64,1.24,3.2,0.6,-281.9947374
Morris,CMA,Problem8,406,1,1.24,1.6,0,174.1558804
Morris,CMA,Problem8,406,1,1.24,4,0,21.22643112
Morris,CMA,Problem8,406,1,1.24,4,0.6,51.41349151
Morris,CMA,Problem8,604,0.64,0.1,2.4,0,84.48783492
Morris,CMA,Problem8,604,0.64,0.1,2.4,0.6,-155.5267139
Morris,CMA,Problem8,604,0.64,1.24,0,0,-80.63026889
Morris,CMA,Problem8,604,0.64,1.24,2.4,0,-25.15036176
Morris,CMA,Problem8,604,1,0.48,1.6,0.4,97.55384738
Morris,CMA,Problem8,604,1,1.62,1.6,0.8,-184.5129407
Morris,CMA,Problem8,802,0.1,0.1,0,0.4,-51.01868397
Morris,CMA,Problem8,802,0.1,1.24,0,0.4,-554.0160234
Morris,CMA,Problem8,802,0.1,1.24,2.4,0.4,145.5398831
Morris,CMA,Problem8,802,0.1,1.24,2.4,1,110.6640051
Morris,CMA,Problem8,802,0.28,0.86,0.8,0.6,372.8026313
Morris,CMA,Problem8,802,0.28,2,0.8,0.6,-81.79145465
Morris,CMA,Problem8,802,0.28,2,3.2,0.6,55.31134567
Morris,CMA,Problem8,802,0.64,0.1,0,0.4,-178.3473895
Morris,CMA,Problem8,802,0.82,0.86,0.8,0.6,26.26503301
Morris,CMA,Problem8,802,0.82,0.86,1.6,0.6,93.77410751
Morris,CMA,Problem8,802,0.82,0.86,4,0,34.85735109
Morris,CMA,Problem8,802,0.82,0.86,4,0.6,58.12187072
Morris,CMA,Problem8,802,0.82,2,1.6,0.6,-104.7981133
Morris,CMA,Problem8,802,0.82,2,4,0,85.12281604
Morris,CMA,Problem9,10,0.1,0.1,2.4,0.6,555.74328
Morris,CMA,Problem9,10,0.46,0.48,1.6,0.4,554.7361236
Morris,CMA,Problem9,10,0.46,0.48,4,0.2,545.3543812
Morris,CMA,Problem9,10,0.46,0.48,4,0.4,546.2630018
Morris,CMA,Problem9,10,0.46,1.62,4,0.4,536.4666914
Morris,CMA,Problem9,10,0.46,1.62,4,1,541.637492
Morris,CMA,Problem9,10,0.64,0.1,2.4,0.6,538.5095774
Morris,CMA,Problem9,10,1,0.48,1.6,0.2,539.5962842
Morris,CMA,Problem9,10,1,0.48,1.6,0.4,544.554839
Morris,CMA,Problem9,10,1,0.48,1.6,0.8,524.6650431
Morris,CMA,Problem9,10,1,0.48,4,0.2,553.8550796
Morris,CMA,Problem9,10,1,1.62,1.6,0.8,543.3964422
Morris,CMA,Problem9,1000,0.1,0.1,0.8,0,551.9684698
Morris,CMA,Problem9,1000,0.1,0.1,0.8,0.6,564.9078569
Morris,CMA,Problem9,1000,0.1,0.1,3.2,0.6,557.5138592
Morris,CMA,Problem9,1000,0.1,0.86,0.8,0.2,541.9543811
Morris,CMA,Problem9,1000,0.1,1.24,3.2,0.6,568.0249944
Morris,CMA,Problem9,1000,0.1,2,0.8,0.2,547.2581177
Morris,CMA,Problem9,1000,0.1,2,3.2,0.2,536.6256847
Morris,CMA,Problem9,1000,0.1,2,3.2,0.8,540.496975
Morris,CMA,Problem9,1000,0.46,0.1,4,0.6,566.5119929
Morris,CMA,Problem9,1000,1,0.1,4,0.6,555.2224812
Morris,CMA,Problem9,1000,1,1.24,4,0.6,544.7919812
Morris,CMA,Problem9,208,0.1,1.24,2.4,1,551.5553249
Morris,CMA,Problem9,208,0.28,0.86,1.6,0.6,530.3801904
Morris,CMA,Problem9,208,0.28,2,1.6,0.6,539.3395868
Morris,CMA,Problem9,208,0.28,2,3.2,0,536.1573767
Morris,CMA,Problem9,208,0.28,2,3.2,0.6,543.8533584
Morris,CMA,Problem9,208,0.82,0.86,1.6,0,568.591451
Morris,CMA,Problem9,208,0.82,0.86,1.6,0.6,530.7779016
Morris,CMA,Problem9,208,0.82,0.86,4,0,551.1113744
Morris,CMA,Problem9,208,0.82,2,1.6,0.6,528.812716
Morris,CMA,Problem9,406,0.1,0.86,0.8,0.2,558.3029097
Morris,CMA,Problem9,406,0.1,1.24,3.2,0.6,542.0864124
Morris,CMA,Problem9,406,0.64,0.86,0.8,0.2,538.6005578
Morris,CMA,Problem9,406,0.64,1.24,3.2,0.6,546.0473925
Morris,CMA,Problem9,406,1,1.24,1.6,0,545.0813107
Morris,CMA,Problem9,406,1,1.24,4,0,541.3869172
Morris,CMA,Problem9,406,1,1.24,4,0.6,556.4079356
Morris,CMA,Problem9,604,0.64,0.1,2.4,0,546.240764
Morris,CMA,Problem9,604,0.64,0.1,2.4,0.6,547.2822787
Morris,CMA,Problem9,604,0.64,1.24,0,0,560.1254141
Morris,CMA,Problem9,604,0.64,1.24,2.4,0,548.6508798
Morris,CMA,Problem9,604,1,0.48,1.6,0.4,534.7773067
Morris,CMA,Problem9,604,1,1.62,1.6,0.8,544.4375945
Morris,CMA,Problem9,802,0.1,0.1,0,0.4,567.573488
Morris,CMA,Problem9,802,0.1,1.24,0,0.4,534.5287385
Morris,CMA,Problem9,802,0.1,1.24,2.4,0.4,543.5277815
Morris,CMA,Problem9,802,0.1,1.24,2.4,1,541.9931966
Morris,CMA,Problem9,802,0.28,0.86,0.8,0.6,556.5154203
Morris,CMA,Problem9,802,0.28,2,0.8,0.6,560.4107059
Morris,CMA,Problem9,802,0.28,2,3.2,0.6,553.3786266
Morris,CMA,Problem9,802,0.64,0.1,0,0.4,565.0105598
Morris,CMA,Problem9,802,0.82,0.86,0.8,0.6,565.1681812
Morris,CMA,Problem9,802,0.82,0.86,1.6,0.6,546.0252358
Morris,CMA,Problem9,802,0.82,0.86,4,0,552.824245
Morris,CMA,Problem9,802,0.82,0.86,4,0.6,529.0027324
Morris,CMA,Problem9,802,0.82,2,1.6,0.6,539.2081482
Morris,CMA,Problem9,802,0.82,2,4,0,550.5808836
Morris,CMA,Problem10,10,0.1,0.1,2.4,0.6,21.13933142
Morris,CMA,Problem10,10,0.46,0.48,1.6,0.4,21.18697553
Morris,CMA,Problem10,10,0.46,0.48,4,0.2,21.21966835
Morris,CMA,Problem10,10,0.46,0.48,4,0.4,21.26683306
Morris,CMA,Problem10,10,0.46,1.62,4,0.4,21.11391157
Morris,CMA,Problem10,10,0.46,1.62,4,1,21.16510198
Morris,CMA,Problem10,10,0.64,0.1,2.4,0.6,21.13280415
Morris,CMA,Problem10,10,1,0.48,1.6,0.2,21.14602615
Morris,CMA,Problem10,10,1,0.48,1.6,0.4,21.21205491
Morris,CMA,Problem10,10,1,0.48,1.6,0.8,21.17065932
Morris,CMA,Problem10,10,1,0.48,4,0.2,21.23916448
Morris,CMA,Problem10,10,1,1.62,1.6,0.8,21.2121618
Morris,CMA,Problem10,1000,0.1,0.1,0.8,0,21.19976785
Morris,CMA,Problem10,1000,0.1,0.1,0.8,0.6,21.08477273
Morris,CMA,Problem10,1000,0.1,0.1,3.2,0.6,21.16780746
Morris,CMA,Problem10,1000,0.1,0.86,0.8,0.2,21.23497601
Morris,CMA,Problem10,1000,0.1,1.24,3.2,0.6,21.1762694
Morris,CMA,Problem10,1000,0.1,2,0.8,0.2,21.19218713
Morris,CMA,Problem10,1000,0.1,2,3.2,0.2,21.17901293
Morris,CMA,Problem10,1000,0.1,2,3.2,0.8,21.22530806
Morris,CMA,Problem10,1000,0.46,0.1,4,0.6,21.22297978
Morris,CMA,Problem10,1000,1,0.1,4,0.6,21.22766943
Morris,CMA,Problem10,1000,1,1.24,4,0.6,21.15940203
Morris,CMA,Problem10,208,0.1,1.24,2.4,1,21.11922937
Morris,CMA,Problem10,208,0.28,0.86,1.6,0.6,21.1444272
Morris,CMA,Problem10,208,0.28,2,1.6,0.6,21.18512105
Morris,CMA,Problem10,208,0.28,2,3.2,0,21.16056988
Morris,CMA,Problem10,208,0.28,2,3.2,0.6,21.19919748
Morris,CMA,Problem10,208,0.82,0.86,1.6,0,21.17040646
Morris,CMA,Problem10,208,0.82,0.86,1.6,0.6,21.16191913
Morris,CMA,Problem10,208,0.82,0.86,4,0,21.07523648
Morris,CMA,Problem10,208,0.82,2,1.6,0.6,21.15698119
Morris,CMA,Problem10,406,0.1,0.86,0.8,0.2,21.17439079
Morris,CMA,Problem10,406,0.1,1.24,3.2,0.6,21.14082044
Morris,CMA,Problem10,406,0.64,0.86,0.8,0.2,21.10624191
Morris,CMA,Problem10,406,0.64,1.24,3.2,0.6,21.1387824
Morris,CMA,Problem10,406,1,1.24,1.6,0,21.14820549
Morris,CMA,Problem10,406,1,1.24,4,0,21.21953537
Morris,CMA,Problem10,406,1,1.24,4,0.6,21.09493392
Morris,CMA,Problem10,604,0.64,0.1,2.4,0,21.19530469
Morris,CMA,Problem10,604,0.64,0.1,2.4,0.6,21.13828094
Morris,CMA,Problem10,604,0.64,1.24,0,0,21.11933553
Morris,CMA,Problem10,604,0.64,1.24,2.4,0,21.21217805
Morris,CMA,Problem10,604,1,0.48,1.6,0.4,21.19461729
Morris,CMA,Problem10,604,1,1.62,1.6,0.8,21.16070136
Morris,CMA,Problem10,802,0.1,0.1,0,0.4,21.12616975
Morris,CMA,Problem10,802,0.1,1.24,0,0.4,21.21383707
Morris,CMA,Problem10,802,0.1,1.24,2.4,0.4,21.11964823
Morris,CMA,Problem10,802,0.1,1.24,2.4,1,21.14867837
Morris,CMA,Problem10,802,0.28,0.86,0.8,0.6,21.15944567
Morris,CMA,Problem10,802,0.28,2,0.8,0.6,21.14819358
Morris,CMA,Problem10,802,0.28,2,3.2,0.6,21.18278749
Morris,CMA,Problem10,802,0.64,0.1,0,0.4,21.15192694
Morris,CMA,Problem10,802,0.82,0.86,0.8,0.6,21.16988789
Morris,CMA,Problem10,802,0.82,0.86,1.6,0.6,21.20250043
Morris,CMA,Problem10,802,0.82,0.86,4,0,21.22595737
Morris,CMA,Problem10,802,0.82,0.86,4,0.6,21.16801582
Morris,CMA,Problem10,802,0.82,2,1.6,0.6,21.11364283
Morris,CMA,Problem10,802,0.82,2,4,0,21.11444163
Morris,CMA,Problem11,10,0.1,0.1,2.4,0.6,871.9601086
Morris,CMA,Problem11,10,0.46,0.48,1.6,0.4,907.8008421
Morris,CMA,Problem11,10,0.46,0.48,4,0.2,892.4447764
Morris,CMA,Problem11,10,0.46,0.48,4,0.4,890.5463199
Morris,CMA,Problem11,10,0.46,1.62,4,0.4,906.8904056
Morris,CMA,Problem11,10,0.46,1.62,4,1,916.1579503
Morris,CMA,Problem11,10,0.64,0.1,2.4,0.6,849.9303526
Morris,CMA,Problem11,10,1,0.48,1.6,0.2,879.7546565
Morris,CMA,Problem11,10,1,0.48,1.6,0.4,926.0289321
Morris,CMA,Problem11,10,1,0.48,1.6,0.8,889.1538353
Morris,CMA,Problem11,10,1,0.48,4,0.2,852.6199478
Morris,CMA,Problem11,10,1,1.62,1.6,0.8,912.2711358
Morris,CMA,Problem11,1000,0.1,0.1,0.8,0,915.9995658
Morris,CMA,Problem11,1000,0.1,0.1,0.8,0.6,876.241979
Morris,CMA,Problem11,1000,0.1,0.1,3.2,0.6,878.6322839
Morris,CMA,Problem11,1000,0.1,0.86,0.8,0.2,925.7100559
Morris,CMA,Problem11,1000,0.1,1.24,3.2,0.6,931.4909362
Morris,CMA,Problem11,1000,0.1,2,0.8,0.2,951.0304942
Morris,CMA,Problem11,1000,0.1,2,3.2,0.2,950.2647312
Morris,CMA,Problem11,1000,0.1,2,3.2,0.8,892.0676781
Morris,CMA,Problem11,1000,0.46,0.1,4,0.6,887.5520293
Morris,CMA,Problem11,1000,1,0.1,4,0.6,923.3417274
Morris,CMA,Problem11,1000,1,1.24,4,0.6,926.3368988
Morris,CMA,Problem11,208,0.1,1.24,2.4,1,984.5511279
Morris,CMA,Problem11,208,0.28,0.86,1.6,0.6,912.4352006
Morris,CMA,Problem11,208,0.28,2,1.6,0.6,904.0901599
Morris,CMA,Problem11,208,0.28,2,3.2,0,864.5595179
Morris,CMA,Problem11,208,0.28,2,3.2,0.6,886.5279626
Morris,CMA,Problem11,208,0.82,0.86,1.6,0,899.4759301
Morris,CMA,Problem11,208,0.82,0.86,1.6,0.6,886.5662477
Morris,CMA,Problem11,208,0.82,0.86,4,0,908.370906
Morris,CMA,Problem11,208,0.82,2,1.6,0.6,914.356802
Morris,CMA,Problem11,406,0.1,0.86,0.8,0.2,903.3128935
Morris,CMA,Problem11,406,0.1,1.24,3.2,0.6,935.8794287
Morris,CMA,Problem11,406,0.64,0.86,0.8,0.2,896.3263916
Morris,CMA,Problem11,406,0.64,1.24,3.2,0.6,879.6923681
Morris,CMA,Problem11,406,1,1.24,1.6,0,917.1118737
Morris,CMA,Problem11,406,1,1.24,4,0,893.6756936
Morris,CMA,Problem11,406,1,1.24,4,0.6,861.1957946
Morris,CMA,Problem11,604,0.64,0.1,2.4,0,916.35883
Morris,CMA,Problem11,604,0.64,0.1,2.4,0.6,917.4098633
Morris,CMA,Problem11,604,0.64,1.24,0,0,885.8750281
Morris,CMA,Problem11,604,0.64,1.24,2.4,0,850.1294467
Morris,CMA,Problem11,604,1,0.48,1.6,0.4,901.9183838
Morris,CMA,Problem11,604,1,1.62,1.6,0.8,883.4333422
Morris,CMA,Problem11,802,0.1,0.1,0,0.4,897.5370091
Morris,CMA,Problem11,802,0.1,1.24,0,0.4,904.102313
Morris,CMA,Problem11,802,0.1,1.24,2.4,0.4,881.5739371
Morris,CMA,Problem11,802,0.1,1.24,2.4,1,913.2813256
Morris,CMA,Problem11,802,0.28,0.86,0.8,0.6,900.5438181
Morris,CMA,Problem11,802,0.28,2,0.8,0.6,924.3480028
Morris,CMA,Problem11,802,0.28,2,3.2,0.6,900.9232599
Morris,CMA,Problem11,802,0.64,0.1,0,0.4,917.0729174
Morris,CMA,Problem11,802,0.82,0.86,0.8,0.6,937.2116295
Morris,CMA,Problem11,802,0.82,0.86,1.6,0.6,891.9740095
Morris,CMA,Problem11,802,0.82,0.86,4,0,927.8562356
Morris,CMA,Problem11,802,0.82,0.86,4,0.6,898.4668345
Morris,CMA,Problem11,802,0.82,2,1.6,0.6,931.5514295
Morris,CMA,Problem11,802,0.82,2,4,0,948.5072152
Morris,CMA,Problem12,10,0.1,0.1,2.4,0.6,24844117.82
Morris,CMA,Problem12,10,0.46,0.48,1.6,0.4,25788358.05
Morris,CMA,Problem12,10,0.46,0.48,4,0.2,25091595.77
Morris,CMA,Problem12,10,0.46,0.48,4,0.4,24993921.75
Morris,CMA,Problem12,10,0.46,1.62,4,0.4,25522338.91
Morris,CMA,Problem12,10,0.46,1.62,4,1,25864099.9
Morris,CMA,Problem12,10,0.64,0.1,2.4,0.6,25695848.28
Morris,CMA,Problem12,10,1,0.48,1.6,0.2,25798297.54
Morris,CMA,Problem12,10,1,0.48,1.6,0.4,25850604.28
Morris,CMA,Problem12,10,1,0.48,1.6,0.8,25258266.39
Morris,CMA,Problem12,10,1,0.48,4,0.2,25808423.15
Morris,CMA,Problem12,10,1,1.62,1.6,0.8,25643675.69
Morris,CMA,Problem12,1000,0.1,0.1,0.8,0,26333583.84
Morris,CMA,Problem12,1000,0.1,0.1,0.8,0.6,25256404.52
Morris,CMA,Problem12,1000,0.1,0.1,3.2,0.6,25547630.62
Morris,CMA,Problem12,1000,0.1,0.86,0.8,0.2,24662545.11
Morris,CMA,Problem12,1000,0.1,1.24,3.2,0.6,26226033.8
Morris,CMA,Problem12,1000,0.1,2,0.8,0.2,26722218.7
Morris,CMA,Problem12,1000,0.1,2,3.2,0.2,24480816.01
Morris,CMA,Problem12,1000,0.1,2,3.2,0.8,25611643.44
Morris,CMA,Problem12,1000,0.46,0.1,4,0.6,25095057.39
Morris,CMA,Problem12,1000,1,0.1,4,0.6,25258225.26
Morris,CMA,Problem12,1000,1,1.24,4,0.6,25854000.04
Morris,CMA,Problem12,208,0.1,1.24,2.4,1,25647070.9
Morris,CMA,Problem12,208,0.28,0.86,1.6,0.6,25160694.75
Morris,CMA,Problem12,208,0.28,2,1.6,0.6,25887637.47
Morris,CMA,Problem12,208,0.28,2,3.2,0,24120557.46
Morris,CMA,Problem12,208,0.28,2,3.2,0.6,24893083.46
Morris,CMA,Problem12,208,0.82,0.86,1.6,0,25668729.39
Morris,CMA,Problem12,208,0.82,0.86,1.6,0.6,25232967.79
Morris,CMA,Problem12,208,0.82,0.86,4,0,25712469.82
Morris,CMA,Problem12,208,0.82,2,1.6,0.6,24322496.92
Morris,CMA,Problem12,406,0.1,0.86,0.8,0.2,25411365.03
Morris,CMA,Problem12,406,0.1,1.24,3.2,0.6,24462117.1
Morris,CMA,Problem12,406,0.64,0.86,0.8,0.2,25285208.31
Morris,CMA,Problem12,406,0.64,1.24,3.2,0.6,24108779.39
Morris,CMA,Problem12,406,1,1.24,1.6,0,26271428.6
Morris,CMA,Problem12,406,1,1.24,4,0,25374141.5
Morris,CMA,Problem12,406,1,1.24,4,0.6,25054475.18
Morris,CMA,Problem12,604,0.64,0.1,2.4,0,26323432.58
Morris,CMA,Problem12,604,0.64,0.1,2.4,0.6,25736149.98
Morris,CMA,Problem12,604,0.64,1.24,0,0,25549459.43
Morris,CMA,Problem12,604,0.64,1.24,2.4,0,25266515.75
Morris,CMA,Problem12,604,1,0.48,1.6,0.4,26155176.71
Morris,CMA,Problem12,604,1,1.62,1.6,0.8,26575948.81
Morris,CMA,Problem12,802,0.1,0.1,0,0.4,25731330.84
Morris,CMA,Problem12,802,0.1,1.24,0,0.4,25690609.66
Morris,CMA,Problem12,802,0.1,1.24,2.4,0.4,25074828.54
Morris,CMA,Problem12,802,0.1,1.24,2.4,1,25783163.12
Morris,CMA,Problem12,802,0.28,0.86,0.8,0.6,25668921.12
Morris,CMA,Problem12,802,0.28,2,0.8,0.6,25667343.78
Morris,CMA,Problem12,802,0.28,2,3.2,0.6,25458525.89
Morris,CMA,Problem12,802,0.64,0.1,0,0.4,25882613.18
Morris,CMA,Problem12,802,0.82,0.86,0.8,0.6,25155593.53
Morris,CMA,Problem12,802,0.82,0.86,1.6,0.6,24384600.69
Morris,CMA,Problem12,802,0.82,0.86,4,0,25709285.87
Morris,CMA,Problem12,802,0.82,0.86,4,0.6,24808944.19
Morris,CMA,Problem12,802,0.82,2,1.6,0.6,25806855.09
Morris,CMA,Problem12,802,0.82,2,4,0,24548087.7
Morris,CMA,Problem13,10,0.1,0.1,2.4,0.6,2089466.291
Morris,CMA,Problem13,10,0.46,0.48,1.6,0.4,2078834.025
Morris,CMA,Problem13,10,0.46,0.48,4,0.2,2050685.811
Morris,CMA,Problem13,10,0.46,0.48,4,0.4,2094969.843
Morris,CMA,Problem13,10,0.46,1.62,4,0.4,2109667.898
Morris,CMA,Problem13,10,0.46,1.62,4,1,2046827.638
Morris,CMA,Problem13,10,0.64,0.1,2.4,0.6,2236809.536
Morris,CMA,Problem13,10,1,0.48,1.6,0.2,2063097.4
Morris,CMA,Problem13,10,1,0.48,1.6,0.4,2096713.694
Morris,CMA,Problem13,10,1,0.48,1.6,0.8,2140925.129
Morris,CMA,Problem13,10,1,0.48,4,0.2,2049175.77
Morris,CMA,Problem13,10,1,1.62,1.6,0.8,2072455.275
Morris,CMA,Problem13,1000,0.1,0.1,0.8,0,2061563.302
Morris,CMA,Problem13,1000,0.1,0.1,0.8,0.6,2157408.897
Morris,CMA,Problem13,1000,0.1,0.1,3.2,0.6,2116560.286
Morris,CMA,Problem13,1000,0.1,0.86,0.8,0.2,2146249.638
Morris,CMA,Problem13,1000,0.1,1.24,3.2,0.6,1985237.692
Morris,CMA,Problem13,1000,0.1,2,0.8,0.2,2100359.996
Morris,CMA,Problem13,1000,0.1,2,3.2,0.2,2161754.731
Morris,CMA,Problem13,1000,0.1,2,3.2,0.8,2129661.364
Morris,CMA,Problem13,1000,0.46,0.1,4,0.6,2093362.781
Morris,CMA,Problem13,1000,1,0.1,4,0.6,2048132.823
Morris,CMA,Problem13,1000,1,1.24,4,0.6,2074035.926
Morris,CMA,Problem13,208,0.1,1.24,2.4,1,2120986.004
Morris,CMA,Problem13,208,0.28,0.86,1.6,0.6,2069758.973
Morris,CMA,Problem13,208,0.28,2,1.6,0.6,2096920.432
Morris,CMA,Problem13,208,0.28,2,3.2,0,2121908.116
Morris,CMA,Problem13,208,0.28,2,3.2,0.6,2106268.037
Morris,CMA,Problem13,208,0.82,0.86,1.6,0,2098709.72
Morris,CMA,Problem13,208,0.82,0.86,1.6,0.6,2135546.078
Morris,CMA,Problem13,208,0.82,0.86,4,0,2108882.815
Morris,CMA,Problem13,208,0.82,2,1.6,0.6,2057097.515
Morris,CMA,Problem13,406,0.1,0.86,0.8,0.2,2031166.786
Morris,CMA,Problem13,406,0.1,1.24,3.2,0.6,2100135.346
Morris,CMA,Problem13,406,0.64,0.86,0.8,0.2,2029288.487
Morris,CMA,Problem13,406,0.64,1.24,3.2,0.6,2113116.002
Morris,CMA,Problem13,406,1,1.24,1.6,0,2077696.374
Morris,CMA,Problem13,406,1,1.24,4,0,1967757.117
Morris,CMA,Problem13,406,1,1.24,4,0.6,2084545.198
Morris,CMA,Problem13,604,0.64,0.1,2.4,0,2142633.813
Morris,CMA,Problem13,604,0.64,0.1,2.4,0.6,2117347.495
Morris,CMA,Problem13,604,0.64,1.24,0,0,1994380.894
Morris,CMA,Problem13,604,0.64,1.24,2.4,0,2179166.756
Morris,CMA,Problem13,604,1,0.48,1.6,0.4,2136793.506
Morris,CMA,Problem13,604,1,1.62,1.6,0.8,2075282.601
Morris,CMA,Problem13,802,0.1,0.1,0,0.4,2055076.481
Morris,CMA,Problem13,802,0.1,1.24,0,0.4,2074214.896
Morris,CMA,Problem13,802,0.1,1.24,2.4,0.4,2086329.145
Morris,CMA,Problem13,802,0.1,1.24,2.4,1,2078520.554
Morris,CMA,Problem13,802,0.28,0.86,0.8,0.6,2033456.063
Morris,CMA,Problem13,802,0.28,2,0.8,0.6,2141702.123
Morris,CMA,Problem13,802,0.28,2,3.2,0.6,2189463.925
Morris,CMA,Problem13,802,0.64,0.1,0,0.4,2104540.886
Morris,CMA,Problem13,802,0.82,0.86,0.8,0.6,2030094.499
Morris,CMA,Problem13,802,0.82,0.86,1.6,0.6,2134961.067
Morris,CMA,Problem13,802,0.82,0.86,4,0,2084747.117
Morris,CMA,Problem13,802,0.82,0.86,4,0.6,2101336.62
Morris,CMA,Problem13,802,0.82,2,1.6,0.6,2061117.447
Morris,CMA,Problem13,802,0.82,2,4,0,2063162.574
Morris,CMA,Problem14,10,0.1,0.1,2.4,0.6,500
Morris,CMA,Problem14,10,0.46,0.48,1.6,0.4,500
Morris,CMA,Problem14,10,0.46,0.48,4,0.2,500
Morris,CMA,Problem14,10,0.46,0.48,4,0.4,500
Morris,CMA,Problem14,10,0.46,1.62,4,0.4,500
Morris,CMA,Problem14,10,0.46,1.62,4,1,500
Morris,CMA,Problem14,10,0.64,0.1,2.4,0.6,500
Morris,CMA,Problem14,10,1,0.48,1.6,0.2,500
Morris,CMA,Problem14,10,1,0.48,1.6,0.4,500
Morris,CMA,Problem14,10,1,0.48,1.6,0.8,500
Morris,CMA,Problem14,10,1,0.48,4,0.2,500
Morris,CMA,Problem14,10,1,1.62,1.6,0.8,500
Morris,CMA,Problem14,1000,0.1,0.1,0.8,0,500
