method,algo,problem,dim,pop,pSBX,sbxDI,pm,pmDI,mode,neighbour,GD,IGD,HV
Morris,MOEAD,DTLZ1,3,821.8182,0.3454545,110,0.4272727,200,2.090909,0.2454545,5.34664623,7.499088703,0
Morris,MOEAD,DTLZ1,3,821.8182,0.3454545,110,0.4272727,200,2.090909,0.4636364,5.300661229,6.795564828,0
Morris,MOEAD,DTLZ1,3,821.8182,0.3454545,110,0.4272727,200,3.727273,0.4636364,5.277653019,7.593849798,0
Morris,MOEAD,DTLZ1,3,821.8182,0.3454545,110,0.9181818,200,2.090909,0.2454545,5.211631198,6.521090399,0
Morris,MOEAD,DTLZ1,3,821.8182,0.3454545,2,0.9181818,200,2.090909,0.2454545,5.535609632,6.046151402,0
Morris,MOEAD,DTLZ1,3,821.8182,0.4272727,92,0.4272727,128,3.181818,0.2090909,5.386861475,7.408577481,0
Morris,MOEAD,DTLZ1,3,821.8182,0.4272727,92,0.9181818,128,3.181818,0.2090909,5.416292946,5.844512725,0
Morris,MOEAD,DTLZ1,3,821.8182,0.6727273,74,0.2636364,146,1.545455,0.1363636,5.517773153,7.817884158,0
Morris,MOEAD,DTLZ1,3,821.8182,0.7545455,146,0.3454545,110,1.272727,0.2818182,5.119305256,5.909851305,0
Morris,MOEAD,DTLZ1,3,910.9091,0.1,200,0.5909091,110,1.272727,0.2454545,4.929042809,5.265456848,0
Morris,MOEAD,DTLZ1,3,910.9091,0.1,200,0.5909091,110,1.272727,0.4636364,4.983217241,5.82836577,0
Morris,MOEAD,DTLZ1,3,910.9091,0.1,200,0.5909091,110,2.909091,0.2454545,5.411806664,7.445617907,0
Morris,MOEAD,DTLZ1,3,910.9091,0.1,92,0.1,110,2.909091,0.2454545,6.215648001,9.229706022,0
Morris,MOEAD,DTLZ1,3,910.9091,0.1,92,0.5909091,110,2.909091,0.2454545,5.567043018,6.111821424,0
Morris,MOEAD,DTLZ1,3,910.9091,0.2636364,92,0.7545455,92,3.727273,0.3181818,5.226609123,7.389646119,0
Morris,MOEAD,DTLZ2,3,1000,0.75454545,200,0.59090909,20,1.2727273,0.17272727,0.007338329,0.005359183,0.009570629
Morris,MOEAD,DTLZ2,3,1000,0.75454545,200,0.59090909,20,2.9090909,0.17272727,0.006635296,0.007477329,0.007459629
Morris,MOEAD,DTLZ2,3,1000,0.75454545,200,0.59090909,20,2.9090909,0.39090909,0.006533202,0.00481047,0.006021092
Morris,MOEAD,DTLZ2,3,1000,0.75454545,92,0.59090909,20,1.2727273,0.17272727,0.00752317,0.007651881,0.012845074
Morris,MOEAD,DTLZ2,3,1000,1,38,0.83636364,146,2.0909091,0.20909091,0.007324597,0.013984858,0.024950327
Morris,MOEAD,DTLZ2,3,1000,1,38,0.83636364,146,2.0909091,0.42727273,0.007013022,0.011538733,0.020972086
Morris,MOEAD,DTLZ2,3,109.0909,0.1818182,164,0.7545455,74,3.727273,0.3545455,0.003744539,0.017943581,0.02013112
Morris,MOEAD,DTLZ2,3,109.0909,0.1818182,56,0.7545455,74,2.090909,0.1363636,0.00604125,0.023478295,0.027400287
Morris,MOEAD,DTLZ2,3,109.0909,0.1818182,56,0.7545455,74,3.727273,0.1363636,0.006398544,0.020726777,0.02528659
Morris,MOEAD,DTLZ2,3,109.0909,0.1818182,56,0.7545455,74,3.727273,0.3545455,0.004109603,0.017620946,0.02409256
Morris,MOEAD,DTLZ2,3,109.0909,0.5090909,74,0.8363636,200,3.181818,0.1,0.00496202,0.026938746,0.029241527
Morris,MOEAD,DTLZ2,3,109.0909,0.5090909,74,0.8363636,92,3.181818,0.1,0.003403438,0.02033523,0.022097688
Morris,MOEAD,DTLZ2,3,109.0909,0.8363636,92,0.3454545,128,3.454545,0.4636364,0.003118504,0.022670993,0.030999699
Morris,MOEAD,DTLZ2,3,109.0909,0.8363636,92,0.3454545,20,3.454545,0.4636364,0.000915312,0.00629515,0.008913747
Morris,MOEAD,DTLZ2,3,109.0909,1,182,0.8363636,92,3.181818,0.1,0.002004987,0.012779732,0.016256886
Morris,MOEAD,DTLZ2,3,109.0909,1,74,0.8363636,92,3.181818,0.1,0.00179128,0.028150534,0.02149825
Morris,MOEAD,DTLZ2,3,198.1818,0.1818182,2,0.9181818,2,2.090909,0.1,0.004771594,0.006901941,0.011736183
