method,algo,problem,dim,pop,pSBX,sbxDI,pm,pmDI,tournament,GD,IGD,HV
Morris,NSGAIII,DTLZ1,3,554.5455,0.8363636,20,0.6727273,110,3.454545,23.17209466,7.495862923,0
Morris,NSGAIII,DTLZ1,3,554.5455,0.9181818,128,0.2636364,146,2.727273,21.80576179,4.893467488,0
Morris,NSGAIII,DTLZ1,3,554.5455,0.9181818,128,0.7545455,146,2.727273,22.36815413,6.571115249,0
Morris,NSGAIII,DTLZ1,3,554.5455,0.9181818,20,0.7545455,146,2.727273,22.94523514,6.336700478,0
Morris,NSGAIII,DTLZ1,3,554.5455,0.9181818,20,0.7545455,38,2.727273,23.33469004,8.894945513,0
Morris,NSGAIII,DTLZ1,3,643.6364,0.4272727,182,0.1818182,110,6.363636,29.86536617,11.89776875,0
Morris,NSGAIII,DTLZ1,3,643.6364,0.4272727,182,0.6727273,110,6.363636,28.64408988,11.6897727,0
Morris,NSGAIII,DTLZ1,3,643.6364,0.7545455,128,0.4272727,164,3.454545,25.0313421,6.727861928,0
Morris,NSGAIII,DTLZ1,3,643.6364,0.7545455,128,0.4272727,56,3.454545,25.20396668,5.655373232,0
Morris,NSGAIII,DTLZ1,3,643.6364,0.9181818,182,0.6727273,110,6.363636,25.38755658,10.05372039,0
Morris,NSGAIII,DTLZ1,3,732.7273,0.4272727,164,0.1818182,182,4.181818,30.0999369,9.576405283,0
Morris,NSGAIII,DTLZ1,3,732.7273,0.4272727,164,0.1818182,182,8.545455,30.96947015,10.82261234,0
Morris,NSGAIII,DTLZ1,3,732.7273,0.4272727,56,0.1818182,182,4.181818,29.65562698,13.60081297,0
Morris,NSGAIII,DTLZ1,3,732.7273,0.4272727,56,0.1818182,74,4.181818,29.72719849,10.22557196,0
Morris,NSGAIII,DTLZ1,3,732.7273,0.9181818,56,0.1818182,74,4.181818,25.1104267,8.242011393,0
Morris,NSGAIII,DTLZ1,3,732.7273,0.9181818,56,0.6727273,74,4.181818,25.89186913,6.252016159,0
Morris,NSGAIII,DTLZ1,3,821.8182,0.1,146,0.1,128,4.909091,34.84829927,15.96859125,0
